subject,TrialID,n_fit_bins,n_all_bins,SSE_ctmc_fixed,SSE_oqs_fixed,SSE_hybrid_fixed,w_fixed,SSE_ctmc_data,SSE_oqs_data,SSE_hybrid_data,w_data
S08,33,12,15,1.857115482911716,3.178560621753408,3.178560621751563,0.4621229257809175,0.651710976227027,0.4158620190824308,0.4158620190824316,0.2488410012171484
S08,36,6,15,0.0384805911503901,0.0384805911522773,0.0384805911503889,0.6459927017386067,0.0457635384525834,0.0457635384525344,0.0457635384527021,0.4054506736767255
S09,9,6,15,0.3360468298257143,0.4367433344625428,0.4367433344509707,0.3502165204015905,0.2576625488862697,0.6083368964036986,0.6084611148348402,0.8465296321774408
S09,22,11,15,0.074120152182618,0.0737157087723642,0.074132003731364,1.0,0.045216649919443,0.044813634105484,0.044813633651747,0.9269262403914158
S09,28,9,15,0.5242510856722173,0.507899574781422,0.5078995747815186,0.8242951129531723,0.4215500496815564,1.2239475543486096,1.2670424760600572,0.8416657798128443
S09,33,9,15,1.336208854113061,1.5053357581053546,1.5053357581118207,0.999999225992952,1.2987971305587207,2.028233620442605,2.028233620438293,0.699388622838036
S10,9,9,15,2.0367755708131794,2.416934395605825,2.4169343956058107,0.3004814155725913,2.9378245682225037,1.369109319443536,1.3691093194435109,0.0
S10,28,12,15,0.7938802827921094,0.8190126014790681,0.8406917782533057,0.9005141246212913,0.5236655857969874,0.5148918913770794,0.5148918913770899,0.0
S10,33,11,15,0.4812664772392377,0.4582394810663409,0.4961337358297112,1.0,0.4225832347747648,0.4041397762162032,0.4505427113894781,0.9939867389612128
S11,9,9,15,3.2797253194466505,3.0651807515910114,3.265364112645031,0.5376543858333336,3.2441937960377745,3.0398858233824946,1.8126952626727064,0.0
S11,15,7,15,0.9172559455149712,0.7606511862873326,0.8383205920380401,0.7204844593862065,0.8482593946886144,0.6652498311584216,0.6652498311579955,0.5239764052020948
S11,22,9,15,0.8144373841371357,1.0044680569984306,1.004468057112426,0.999999900365096,0.7463451118276927,1.3839823701939384,1.3881345750992593,0.7826039060997946
S11,33,7,15,1.7624442228921364,2.00410570490499,2.004105704904837,0.5899170293976133,1.7346552546224117,1.6134073916196074,1.6134073916198246,0.0873936284881161
S11,36,6,15,1.7631487578657232,1.5611816343235023,1.79368294322412,0.6482203031735584,0.8233595723421914,0.5503044020883943,0.5503044020883567,0.7196080929941893
S12,15,9,15,0.3154823718391569,0.3333768531935669,0.3333768531935527,0.8093458261423607,0.3143910090690941,0.2971633218952002,0.2971633218952867,0.9208467205398344
S12,22,13,15,2.821875612922808,3.0154259450730083,3.10611037032722,0.6793759611436271,2.2812770593148124,1.7441481970994763,1.7441481970995425,0.0283559161607465
S12,25,13,15,0.6396084881057711,0.6173239845462811,0.6510394659138211,1.0,0.1536703309806231,0.1265641924135061,0.126564192413467,0.0
S12,28,8,15,0.0254149834517377,0.0254292652554577,0.0254292652554606,0.895953171563309,0.0598579940503795,0.0598579940503784,0.0598579940503767,0.3167472879190501
S12,36,5,15,0.281560834207174,0.269403118471092,0.2747076493767926,0.7721275887721053,0.2407609652147423,0.1926594789703412,0.1926594789702495,0.8136313081355722
S13,12,6,15,0.1919510608453133,0.2289646306786761,0.2289646306801541,0.5748979324891189,0.1187831388006495,0.1182667140937881,0.1182667140938226,0.8820976519258086
S13,15,6,15,0.3928117249111256,0.4227378705499274,0.4227378705497385,0.8531692338442421,0.3686279776426772,0.3528763061891018,0.3528763061891012,0.0
S13,28,7,15,0.4827475410126178,0.4707359675790343,0.4820456778250517,1.0,0.0356546603555373,0.0304119737672878,0.0304119737668553,0.8402674499758537
S14,25,11,15,0.9224299358534708,0.9648621488694026,0.9814115605151468,0.8780892769696115,0.6740664942790218,0.7561455187446037,0.756145518744599,0.5417965826247515
S14,33,7,15,0.9903996074484216,0.9191068481614372,1.1552781700223729,1.0,0.3967310625658148,0.4084730713722047,0.4084730713722062,0.1064575864308179
S15,9,8,15,1.0575979631267811,1.4437591293278609,1.4437591293271232,0.9999999798765348,0.6134324150672831,2.0900788245850066,1.1357288544344335,0.0
S15,15,11,15,4.188521327237495,3.974249125552296,4.536517458623971,0.7214572069285125,3.418959109545948,1.267570791820528,1.2675707918205306,0.2778155110581988
S15,22,7,15,0.9917810537744962,1.0081457256151654,1.008145725615226,0.7691234479399627,0.9676782426706132,0.896090203670163,0.8960902036703022,0.1577549345991611
S15,28,10,15,2.254511719599245,2.9071343831354066,3.049781502166133,0.6686954807870179,1.1417468283022327,0.7216859523871096,0.7216859523871118,0.0597830127549477
S15,33,9,15,1.3630106294413515,1.301337532790682,1.3240376158891198,0.5661217147348413,1.3179071648667184,1.1997984618947473,1.1997984618948905,0.4919174447702903
S15,36,7,15,1.5141214562115588,1.4429497517500736,1.5437900655760497,0.5727873791447556,0.5327956039288114,0.4899776870369596,0.4885157451920133,0.0
S16,9,12,15,1.339973272171237,1.329604346170212,1.3296043463783038,0.7502417878758422,1.303895273547173,1.3188488548178303,1.3188488548179835,0.5705391233007268
S16,12,6,15,1.3886192999869476,1.2682992575986751,1.3945652186589583,0.5056416926071748,1.3292892322959406,1.212120571292756,0.6955241500336167,0.0155989800452193
S16,15,9,15,0.8357807225298605,0.8701651696463224,0.8953001952844322,1.0,0.4284624018081097,0.5158470785843342,0.5086380692271866,0.1037371732209424
S16,22,6,15,0.3173551493700749,0.3429606746348869,0.3438218500924175,1.0,0.2247630337941412,0.224763033795225,0.2247630337946198,0.3874278682822319
S16,28,11,15,3.162755675958432,2.8121878631856427,3.085515341324036,0.7008633520705525,1.7975029699242246,1.1847323743815772,1.184732374381576,0.0768142565601715
S16,36,7,15,0.8877424983439179,0.9482401591845712,0.9482401591828056,0.8301719959830146,0.8697937916253143,1.5674064079083,1.5674064079076913,0.6412535514142681
S17,12,9,15,1.9602311281457456,2.136229393541049,2.1428043049947294,0.4979604229977461,1.9374390132268104,0.9697635490131332,0.9697635490131348,0.0
S17,15,7,15,1.70757828668875,1.6824276344346971,1.682427634434683,0.2196438029669378,1.6880395761589069,0.8483482481697395,1.594417129761301,0.2608397335752959
S17,28,13,15,4.1810442091159015,4.527979762808584,4.527979762813832,0.6825923125607434,5.146395528622558,3.819038407116557,4.18279876983251,0.0
S17,36,8,15,1.8906946045682689,1.7373760182830689,1.8942102312697031,0.6824938770290688,1.4009584679824136,1.5016348690203598,1.5016348690203936,0.517588941083735
S18,9,10,15,2.2944062263631557,2.5582538948510845,2.558253894853172,1.0,2.175606015301621,1.8575246967516672,1.8870704341226887,0.0
S18,15,7,15,0.0034199361897072,0.003419936189611,0.0034199361896048,1.0,0.0050688679780094,0.0050688679758527,0.0050688679759232,0.5639076810920366
S18,22,11,15,0.776317797978956,0.7288622174698556,0.8114438504674185,1.0,0.4831421441782901,0.4481421374531261,0.4481421374531512,0.6230827161853579
S19,9,5,15,8.768966783525094e-10,2.2215525587424796e-08,1.0329963012564778e-08,1.0,0.0,0.0,0.0,1.0
S19,25,9,15,2.2234555537367338,1.918831799741504,2.1285561253812504,0.731104117569592,1.3827849146222104,1.2923896692867518,1.2923896692861487,0.7085933227501436
S19,28,12,15,0.9432750650646802,0.8912547287378823,0.9803317346180476,1.0,0.3517728827159003,0.2558841926031271,0.2558841926031269,0.0
S20,15,9,15,0.7693700577303616,0.8824446471227081,0.8860667088596823,1.0,0.4301886052650546,0.6254016428248456,0.625401642819483,0.7958150426311875
S20,22,12,15,2.091911255206573,2.6054254336725977,2.605425433672601,0.462370957510082,1.177503267765095,1.9775751262721055,1.9775751262726653,0.1179921139859889
S20,25,12,15,2.4684124536032748,2.41827211048776,2.490264413866372,0.8105673466796549,1.909789081931506,1.9482808888226777,1.9482808888235907,0.747287683347645
S20,28,12,15,3.039212132632071,4.0773970914908375,4.088064908520646,0.6445492304906648,3.2295271750242067,3.863325248343192,3.863325248338088,0.5546197672146651
S20,33,10,15,1.4788308803510883,1.4301618223394874,1.4301618223394863,0.3395816858856145,1.5029510395332937,1.5883502669193588,1.588350266919341,1.0
